rakhine,english
"ယင်းသူရို့က","they (emphasized)"
"အကျွန်က","I (emphasized)"
"ငါက","I (emphasized)"
"နင်က","you (emphasized)"
"မင်းက","you (emphasized)"
"အဆွေက","you (emphasized)"
"နင်က","you (formal emphasized)"
"မင်းက","you (formal emphasized)"
"အဆွေက","you (formal emphasized)"
"ကိုယ်က","oneself (emphasized)"
"လူတစ်ယောက်က","a person (emphasized)"
"ဒေကလူ","this person here"
"ထိုကလူ","that person over there"
"ကလေချေတစ်ယောက်","a young person"
"လူကြီးတစ်ယောက်","an elder"
"မမက်ချေ","girl"
"ယောက်ျားချေ","boy"
"အဖိုး","grandfather (alternate)"
"အဘောင်","grandmother (alternate)"
"အရီး","aunt"
"အခင်","uncle"
"တူ","nephew"
"တူမ","niece"
"သားကြီး","elder son"
"သမီးကြီး","elder daughter"
"သားချေ","younger son"
"သမီးချေ","younger daughter"
"မိသားစုဝင်","family member"
"ဆွေမျိုး","relative (formal)"
"အိမ်သူအိမ်သား","household members"
"အဖ","father (respectful)"
"အမိ","mother (respectful)"
"ဆရာကြီး","senior teacher"
"ဆရာမကြီး","senior female teacher"
"ကျောင်းသား တစ်ယောက်","a student (male)"
"ကျောင်းသူ တစ်ယောက်","a student (female)"
"သူငယ်ချင်း တစ်ယောက်","a friend"
"လုပ်ဖော်ကိုင်ဖက် တစ်ယောက်","a colleague"
"မိတ်ဆွေ တစ်ယောက်","a friend (formal)"
"အဖွဲ့ဝင် တစ်ယောက်","a member"
"ဂေါင်းဆောင် တစ်ယောက်","a leader"
"အကြီးအကဲ တစ်ယောက်","a chief"
"အရာရှိ","officer"
"ဝန်ထမ်း","employee"
"စစ်သား တစ်ယောက်","a soldier"
"ရဲ အရာရှိ တစ်ယောက်","a police officer"
"ဆရာဝန် တစ်ယောက်","a doctor"
"သူနာပြု တစ်ယောက်","a nurse"
"အိန်ဂျင်နီယာ တစ်ယောက်","an engineer"
"ကျောင်းအုပ် တစ်ယောက်","a principal"
"တရားသူကြီး တစ်ယောက်","a judge"
"အိမ်ရှင် တစ်ယောက်","a host"
"အဂန္တု တစ်ယောက်","a guest"
"လူထု","people / public"
"ပြည်သူ တစ်ယောက်","a citizen"
"နိုင်ငံသား တစ်ယောက်","a citizen"
"ပြည်သူ တစ်စု","a group of people"
"လူအုပ်","crowd"
"လူအဖွဲ့","group of people"
"လူသား တစ်ယောက်","a human"
"လူသားတိ","humans"
"လူသားမျိုးနွယ်စု","human race"
"လူ့အဖွဲ့အစည်းတစ်ခု","a society"
"အသင်းဝင်","team member"
"အသင်းခေါင်းဆောင်","team leader"
"မိတ်ဖက်တစ်ယောက်","a partner"
"မိမိကိုယ်","self"
"ကိုယ့်ကိုယ်ကို","oneself (informal)"
"ယင်းသူကိုယ်တိုင်","himself / herself"
"ယင်းသူရို့ကိုယ်တိုင်","themselves"
"ငါကိုယ်တိုင်","myself"
"နင်ကိုယ်တိုင်","yourself"
"မင်းကိုယ်တိုင်","yourself"
"အဆွေကိုယ်တိုင်","yourself"
"နင်ကိုယ်တိုင်","yourself (formal)"
"မင်းကိုယ်တိုင်","yourself (formal)"
"အဆွေကိုယ်တိုင်","yourself (formal)"
"လူတစ်ယောက်","an individual"
"တစ်ယောက်ချင်းစီ","each individual"
"လူမျိုးစု","ethnic group"
"မိသားစု တစ်စု","a family"
"အဖွဲ့ တစ်ဖွဲ့","a group"
"အဖွဲ့အစည်း တစ်ခု","an organization"
"အသင်း တစ်သင်း","a team"
"လူတန်းစား တစ်ခု","a social class"
"ဆွေမျိုး တစ်ယောက်","a relative"
"မိတ်ဆွေ တစ်ယောက်","a friend"
"အိမ်သား တစ်ယောက်","a household member"
"လူအမျိုးမျိုး","various people"
"လူတိုင်း","everyone"
"အကျွန် ကျောင်းသား တစ်ယောက် ဖြစ်ပါရေ။","I am a student."
"အကျွန် ကျောင်းသူ တစ်ယောက် ဖြစ်ပါရေ။","I am a student."
"အကျွန် ဆရာ တစ်ယောက် ဖြစ်ပါရေ။","I am a teacher."
"အကျွန် ဆရာမ တစ်ယောက် ဖြစ်ပါရေ။","I am a teacher."
"အကျွန် ဆရာဝန် တစ်ယောက် ဖြစ်ပါရေ။","I am a doctor."
"အကျွန် သူနာပြု တစ်ယောက် ဖြစ်ပါရေ။","I am a nurse."
"အကျွန် အိန်ဂျင်နီယာ တစ်ယောက် ဖြစ်ပါရေ။","I am an engineer."
"အကျွန် အလုပ်သမား တစ်ယောက် ဖြစ်ပါရေ။","I am a worker."
"အကျွန် ရဲအရာရှိ တစ်ယောက် ဖြစ်ပါရေ။","I am a police officer."
"အကျွန် စစ်သည် တစ်ယောက် ဖြစ်ပါရေ။","I am a soldier."
"ယင်းသူ ကျောင်းသား တစ်ယောက် ဖြစ်ပါရေ။","He is a student."
"ယင်းသူ ကျောင်းသူ တစ်ယောက် ဖြစ်ပါရေ။","She is a student."
"ယင်းသူ ဆရာ တစ်ယောက် ဖြစ်ပါရေ။","He is a teacher."
"ယင်းသူ ဆရာမ တစ်ယောက် ဖြစ်ပါရေ။","She is a teacher."
"ယင်းသူ ဆရာဝန် တစ်ယောက် ဖြစ်ပါရေ။","He is a doctor."
"ယင်းသူ သူနာပြု တစ်ယောက် ဖြစ်ပါရေ။","She is a nurse."
"ယင်းသူ အိန်ဂျင်နီယာ တစ်ယောက် ဖြစ်ပါရေ။","He is an engineer."
"ယင်းသူ အလုပ်သမား ဖြစ်ပါရေ။","He is a worker."
"ယင်းသူ ရဲအရာရှိ တစ်ယောက် ဖြစ်ပါရေ။","He is a police officer."
"ယင်းသူ စစ်သည် တစ်ယောက် ဖြစ်ပါရေ။","He is a soldier."
"အကျွန့် အဖက ဆရာ တစ်ယောက် ဖြစ်ပါရေ။","My father is a teacher."
"အကျွန့် အမိက ဆရာမ တစ်ယောက် ဖြစ်ပါရေ။","My mother is a teacher."
"အကျွန့် အစ်ကိုက ကျောင်းသား တစ်ယောက် ဖြစ်ပါရေ။","My older brother is a student."
"အကျွန့် ညီချေက ကျောင်းသား တစ်ယောက် ဖြစ်ပါရေ။","My younger brother is a student."
"အကျွန့် အေးမက ကျောင်းသူ တစ်ယောက် ဖြစ်ပါရေ။","My older sister is a student."
"အကျွန့် နှမချေက ကျောင်းသူ တစ်ယောက် ဖြစ်ပါရေ။","My younger sister is a student."
"ယင်းသူက အကျွန့် မိတ်ဆွေ ဖြစ်ပါရေ။","He is my friend."
"ယင်းသူက အကျွန့် သူငယ်ချင်း ဖြစ်ပါရေ။","He is my friend."
"ယင်းသူက အကျွန့် သူငယ်ချင်း ဖြစ်ပါရေ။","She is my friend."
"ယင်းသူက အကျွန့် မိတ်ဆွေ ဖြစ်ပါရေ။","She is my friend."
"ယင်းသူရို့က အကျွန့် သူငယ်ချင်းတိ ဖြစ်ပါရေ။","They are my friends."
"ယင်းသူရို့က အကျွန့် မိတ်ဆွေတိ ဖြစ်ပါရေ။","They are my friends."
"အကျွန်ရို့က သူငယ်ချင်းတိ ဖြစ်ပါရေ။","We are friends."
"အကျွန်ရို့က မိတ်ဆွေတိ ဖြစ်ပါရေ။","We are friends."
"အကျွန် အိမ်မှာ ဟိပါရေ။","I am at home."
"ယင်းသူ အိမ်မှာ ဟိပါရေ။","He is at home."
"ယင်းသူ အိမ်မှာ ဟိပါရေ။","She is at home."
"အကျွန် ကျောင်းမှာ ဟိပါရေ။","I am at school."
"ယင်းသူ ကျောင်းမှာ ဟိပါရေ။","He is at school."
"ယင်းသူ ကျောင်းမှာ ဟိပါရေ။","She is at school."
"အကျွန် အလုပ်မှာ ဟိပါရေ။","I am at work."
"ယင်းသူ အလုပ်မှာ ဟိပါရေ။","He is at work."
"ယင်းသူ အလုပ်မှာ ဟိပါရေ။","She is at work."
"အကျွန် ရုံးမှာ ဟိပါရေ။","I am at the office."
"အကျွန် စာဖတ်ရေ။","I read."
"ယင်းသူ စာဖတ်ရေ။","He reads."
"ယင်းသူ စာဖတ်ရေ။","She reads."
"အကျွန် စာရီးရေ။","I write."
"ယင်းသူ စာရီးရေ။","He writes."
"ယင်းသူ စာရီးရေ။","She writes."
"အကျွန် စားရေ။","I eat."
"ယင်းသူ စားရေ။","He eats."
"ယင်းသူ စားရေ။","She eats."
"အကျွန် သောက်ရေ။","I drink."
"ယင်းသူ သောက်ရေ။","He drinks."
"ယင်းသူ သောက်ရေ။","She drinks."
"အကျွန် လားရေ။","I go."
"ယင်းသူ လားရေ။","He goes."
"ယင်းသူ လားရေ။","She goes."
"အကျွန် လာရေ။","I come."
"ယင်းသူ လာရေ။","He comes."
"ယင်းသူ လာရေ။","She comes."
"အကျွန် အိပ်ရေ။","I sleep."
"ယင်းသူ အိပ်ရေ။","He sleeps."
"ယင်းသူ အိပ်ရေ။","She sleeps."
"အကျွန် နိုးရေ။","I wake up."
"ယင်းသူ နိုးရေ။","He wakes up."
"ယင်းသူ နိုးရေ။","She wakes up."
"အကျွန် ဗြီးရေ။","I run."
"ယင်းသူ ဗြီးရေ။","He runs."
"ယင်းသူ ဗြီးရေ။","She runs."
"အကျွန် လမ်းလျှောက်ရေ။","I walk."
"ယင်းသူ လမ်းလျှောက်ရေ။","He walks."
"ယင်းသူ လမ်းလျှောက်ရေ။","She walks."
"အကျွန် ပျော်ရေ။","I am happy."
"ယင်းသူ ပျော်ရေ။","He is happy."
"ယင်းသူ ပျော်ရေ။","She is happy."
"အကျွန် ဝမ်းနည်းရေ။","I am sad."
"ယင်းသူ ဝမ်းနည်းရေ။","He is sad."
"ယင်းသူ ဝမ်းနည်းရေ။","She is sad."
"အကျွန် ပင်ပန်းရေ။","I am tired."
"ယင်းသူ ပင်ပန်းရေ။","He is tired."
"ယင်းသူ ပင်ပန်းရေ။","She is tired."
"အကျွန် နိန်ကောင်းရေ။","I am well."
"ယင်းသူ နိန်ကောင်းရေ။","He is well."
"ယင်းသူ နိန်ကောင်းရေ။","She is well."
"အကျွန် ရီ သောက်ချင်ရေ။","I want to drink water."
"ယင်းသူ ရီ သောက်ချင်ရေ။","He wants to drink water."
"ယင်းသူ ရီ သောက်ချင်ရေ။","She wants to drink water."
"အကျွန် အိမ်ပြန်ချင်ရေ။","I want to go home."
"ယင်းသူ အိမ်ပြန်ချင်ရေ။","He wants to go home."
"ယင်းသူ အိမ်ပြန်ချင်ရေ။","She wants to go home."
"အကျွန် စာသင်ချင်ရေ။","I want to study."
"ယင်းသူ စာသင်ချင်ရေ။","He wants to study."
"ယင်းသူ စာသင်ချင်ရေ။","She wants to study."
"အကျွန် အင်္ဂလိပ်စာ သင်နိန်ရေ။","I am learning English."
"ယင်းသူ အင်္ဂလိပ်စာ သင်နိန်ရေ။","He is learning English."
"ယင်းသူ အင်္ဂလိပ်စာ သင်နိန်ရေ။","She is learning English."
"အကျွန် ရခိုင်စကား ပြောရေ။","I speak Rakhine."
"ယင်းသူ ရခိုင်စကား ပြောရေ။","He speaks Rakhine."
"ယင်းသူ ရခိုင်စကား ပြောရေ။","She speaks Rakhine."
"သာလီစွပါ။","Hello."
"သာလီစွပါ။","Hi."
"သာလီစွ မိုးသောက်ဖက်သားပါ။","Good morning."
"သာလီစွ နိခင်းဖက်သားပါ။","Good afternoon."
"သာလီစွ ညဇာဖက်သားပါ။","Good evening."
"သာလီစွ ညဉ့်ခါဖက်သားပါ။","Good night."
"နိန်ကောင်းလား။","How are you?"
"အဆင်ပြေလား။","Are you okay?"
"ကျန်းမာယင့်လား။","Are you well?"
"မာယင့်လား။","Are you well?"
"နိန်ကောင်းယင့်လား။","Are you well?"
"နိန်ထိုင်ကောင်းယင့်လား။","Are you well?"
"အကျွန် နိန်ကောင်းပါရေ။","I am fine."
"အားလုံး အဆင်ပြေပါရေ။","Everything is fine."
"အကျွန် အဆင်ပြေပါရေ။","I'm okay."
"ကျေးဇူးတင်ပါရေ။","Thank you."
"ကျေးဇူး အများကြီး တင်ပါရေ။","Thank you very much."
"ရပါရေ။","You're welcome."
"ကိစ္စမဟိပါ။","No problem."
"တောင်းပန်ပါရေ။","I'm sorry."
"ခွင့်လွှတ်ပါ။","Please forgive me."
"စိတ်မဟိပါကဲ့။","Don't mind me."
"နာမေ ဇာလဲ။","What is your name?"
"အကျွန့်နာမေ ... ပါ။","My name is ..."
"မင်းနာမေက ဇာလဲ။ (ကိုယ့်ထက် ငယ်ရေ ယောကျ်ား)","What's your name?"
"နင့်နာမေက ဇာလဲ။ (ကိုယ့်ထက် ငယ်ရေ မမက်)","What's your name?"
"နာမေက ဇာပါလဲ။ (ကိုယ့်ထက် ကြီးရေ လူ)","What's your name?"
"တွိရစွာ ဝမ်းသာပါရေ။","Nice to meet you."
"ထပ်တွိရစွာ ဝမ်းသာပါရေ။","Nice to see you again."
"မတွိရစွာ ကြာဗျာ​ယ်။","Long time no see."
"ဇာပိုင်နိန်လဲ။","How have you been?"
"ဒေနိ ဇာပိုင်လဲ။","How is your day?"
"ဒေနိ နိန်ကောင်းလား။","How are you today?"
"အလုပ်များလား။","Are you busy?"
"အားလား။","Are you free?"
"ဇာလုပ်နိန်လဲ။","What are you doing?"
"ဇာလားဖို့လဲ။","Where are you going?"
"လာပါ။","Come in."
"ဝင်လာပါ။","Please come in."
"ထိုင်ပါ။","Please sit down."
"တနား စောင့်ပါ။","Please wait."
"တနားချေပါ။","Just a moment."
"အဂု လာဖို့။","I'll be right back."
"နောက်မှ တွိမေ။","See you later."
"နက်ဖြန် တွိမေ။","See you tomorrow."
"နောက်တစ်ခါတွိမေ။","See you again."
"နောက်တွိမေ။","See you."
"ဂရုစိုက်ပါ။","Take care."
"လမ်းမှာ ဂရုစိုက်ပါ။","Take care on your way."
"ကောင်းကောင်း လားပါ။","Have a safe trip."
"ကောင်းရေ နိဖြစ်ပါစီ။","Have a nice day."
"ကောင်းရေ ညဉ့်ဖြစ်ပါစီ။","Have a good night."
"သာယာရေ နိရက် ဖြစ်ပါစီ။","Have a wonderful day."
"ကံကောင်းပါစီ။","Good luck."
"အောင်မြင်ပါစီ။","Wish you success."
"ပျော်ရွှင်ပါစီ။","Be happy."
"နိန်ကောင်းပါစီ။","Stay healthy."
"အေးအေးဆေးဆေး နိန်ပါ။","Take it easy."
"အဆင်ပြေပါစီ။","Hope you are okay."
"အကျွန် ပြန်လာမေ။","I'll come back."
"တနား နားပါ။","Take a rest."
"အချိန်ရလား။","Do you have time?"
"လာဖို့လား။","Will you come?"
"ဇာမှာလဲ။","Where are you?"
"ဒေမှာပါ။","I'm here."
"အဂု ဇာလုပ်နိန်လဲ။","What are you doing now?"
"အားလုံး အဆင်ပြေလား။","Is everything okay?"
"အိမ်ပြန်ဖို့ဗျာယ်။","I'm going home."
"အလုပ်လားဖို့။","I'm going to work."
"တွိရစွာ ကောင်းရေ။","Good to see you."
"ကြိုဆိုပါရေ။","Welcome."
"ဝင်လာလို့ ရပါရေ။","You may come in."
"အတူတူ လားဖို့လား။","Shall we go together?"
"ဇာကလဲ။","Where are you from?"
"ရခိုင်ကပါ။","I am from Rakhine."
"အဂု ဇာမှာလဲ။","Where are you now?"
"နောက် တွိမေ။","See you next time."
"အချိန် ဟိလား။","Do you have time?"
"နားပါအုံ့။","Please rest."
"နက်ဖြန်ဆုံမေ။","Let's meet tomorrow."
"လားဖို့ဗျာယ်။","I'm leaving."
"အိပ်ဖို့ဗျာယ်။","I'm going to sleep."
"ကောင်းကောင်း အိပ်ပါ။","Sleep well."
"လမ်းခရီး ကောင်းပါစီ။","Have a good journey."
"တွိခရစွာ ကောင်းပါရေ။","It was nice meeting you."
"အားလုံး အဆင်ပြေဖို့လို့ မျှော်လင့်ပါရေ။","Hope everything goes well."
"နောက်တစ်ခါ ပြန်တွိကတ်မေ။","See you next time again."
"အားလုံး အဆင်ပြေပါစီ။","Wish everything goes well."
"ဇာပိုင် ဖြစ်နိန်လဲ။","How is it going?"
"ဇာလိုအပ်လဲ။","Do you need anything?"
"ကူညီရဖို့လား။","Can I help you?"
"အေမှာ ကြိုဆိုပါရေ။","You are welcome here."
"ကောင်းမွန်ရေ နိတစ်နိ ဖြစ်ပါစီ။","Have a great day."
"သတိထားပါ။","Be careful."
"ပြန်တွိကတ်မေ။","Catch you later."
"အဆင်ပြေရေ ထင်ရေ။","I think it's okay."
"အားလုံး အီးချမ်းပါစီ။","Peace to you."
"ပြန်ဆုံကတ်မေ။","We will meet again."
"အဂု လားဗျာယ်။","I'm going now."
"တနားနိန်မေ။","I'll stay a moment."
"မကြာခင် ပြန်လာဖို့။","I'll be back soon."
"နှုတ်ဆက်ပါရေ။","Goodbye."
"ကြိုဆိုပါရေ။","Welcome."
"အိမ်ကို ကြွပါ။","Please come to my home."
"အထဲကို ဝင်ပါ။","Please step inside."
"အပြင်မှာ စောင့်နိန်ပါ။","Please wait outside."
"တနားချေ စကားပြောကတ်မေ။","Let's talk for a while."
"တွိရစွာ ကကောင်း ဝမ်းသာပါရေ။","I'm really happy to see you."
"မင်းကို တွိချင်နိန်စွာ ကြာဗျာယ်။","I've wanted to see you for a long time."
"ဒေနိ မင်းကို ကြည့်ရစွာ လန်းရေ။","You look great today."
"ဒေနိ စိတ်ချမ်းသာယင့်လား။","Are you feeling good today?"
"ဒေနိ အလုပ် ပင်ပန်းလား။","Was work tiring today?"
"ဒေနိ အစီအစဉ်တိ ဟိလား။","Do you have any plans today?"
"အိမ်မှာ အားလုံး နိန်ကောင်းလား။","Is everyone at home doing well?"
"မိသားစု အားလုံး အဆင်ပြေလား။","Is your family doing well?"
"ခရီးက အဆင်ပြေလား။","How was your trip?"
"လမ်းခရီး အဆင်ပြေလား။","Was the journey okay?"
"ဒေကို ဇာအချိန်ရောက်စွာလဲ။","When did you arrive here?"
"အဂုမှ ရောက်စွာလား။","Did you just arrive?"
"စောင့်နိန်စွာ ကြာဗျာယ်လား။","Have you been waiting long?"
"စောင့်နိန်ရစွာ တောင်းပန်ပါရေ။","Sorry for keeping you waiting."
"မင်းကို စောင့်နိန်စွာ။","I was waiting for you."
"မင်း အချိန်မီ ရောက်လာရေ။","You arrived on time."
"နောက်ကျလားလို့ တောင်းပန်ပါရေ။","Sorry I'm late."
"အယင် လာပါ။","Please come quickly."
"အလျင် မလိုပါ။","No need to hurry."
"အီးအီးဆေးဆေး လာပါ။","Take your time."
"အီးဆေး လုပ်ပါ။","Take it easy."
"ဒေမှာ တွိကတ်မေ။","Let's meet here."
"ယင်းမှာ တွိကတ်မေ။","Let's meet there."
"နောက်မှ စကားပြောကတ်မေ။","We'll talk later."
"ဖုန်းဆက်လိုက်မေ။","I'll call you."
"ငါ့ကို ဖုန်းဆက်ပါ။","Call me."
"စာပို့လိုက်ပါ။","Send me a message."
"ပြန်စာပို့ပီးပါ။","Reply to my message."
"မင်းအသံ ကြားရစွာ ဝမ်းသာရေ။","I'm glad to hear your voice."
"တွိရဖို့ မျှော်နိန်မေ။","I look forward to seeing you."
"အချိန်ပီးလို့ ကျေးဇူးတင်ပါရေ။","Thank you for your time."
"လာလည်ရေအတွက် ကျေးဇူးတင်ပါရေ။","Thank you for visiting."
"ပြန်လာပါအုံ့။","Please come again."
"မကြာခင် ပြန်တွိမေ။","See you soon."
"မင်းနန့် စကားပြောရစွာ ပျော်ရေ။","It was nice talking with you."
"အမြဲတမ်း ပျော်ရွှင်နိုင်ပါစီ။","Wish you always happiness."
"ကျန်းမာရေး ဂရုစိုက်ပါ။","Take care of your health."
"အလုပ် အဆင်ပြေပါစီ။","Hope your work goes well."
"စာမေးပွဲ အောင်ပါစီ။","Good luck on your exam."
"ဒေနိ ကံကောင်းပါစီ။","Good luck today."
"မင်းအတွက် ဝမ်းသာရေ။","I'm happy for you."
"ကြားရစွာ စိတ်မကောင်းပါ။","I'm sad to hear that."
"စိတ်ဓာတ် မကျပါကဲ့။","Don't lose heart."
"စိတ်ရှည်ပါ။","Be patient."
"ယုံကြည်မှု ဟိပါ။","Be confident."
"အကောင်းဆုံး ဖြစ်ပါစီ။","All the best."
"အားလုံး အဆင်ပြေလားဖို့စွာပါရာ။","Everything will be okay."
"စိတ်မပူပါကဲ့။","Don't worry."
"အကျွန် ယုံကြည်ပါရေ။","I believe in you."
"မင်း လုပ်နိုင်ပါရေ။","You can do it."
"အကူအညီ လိုကေ ပြောပါ။","Let me know if you need help."
"အချိန်ရကေ လာခပါ။","Come by when you have time."
"မင်းကို တွိဖို့ စောင့်နိန်မေ။","I'll be waiting to see you."
"အိမ် ပြန်ရောက်ကေ ပြောပါ။","Let me know when you get home."
"သတင်း ပို့ပီးပါ။","Keep me updated."
"ကောင်းကောင်း အနားယူပါ။","Have a good rest."
"အိပ်မက် အလှပချေတိ မက်ပါစီ။","Sweet dreams."
